DATE,2018.02.21 10:56
Lot No,L820169      
Bar No,1
Result,NO GOOD
Defect H,9
Defect L,8
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
243,3146,0.54,1.64,0.54,0.17,0.41,0.26,0.09,0.35,0.29,0.22,1.64,0.47,0,0
244,3159,0.35,2.40,0.21,0.32,0.35,0.16,0.24,0.23,0.25,2.40,0.45,1.04,1,0
245,3172,0.35,0.74,0.35,0.13,0.12,0.25,0.26,0.19,0.74,0.19,0.71,0.27,1,0
246,3185,0.31,0.49,0.13,0.10,0.31,0.09,0.14,0.20,0.19,0.49,0.27,0.40,0,0
247,3198,0.30,0.33,0.11,0.30,0.18,0.12,0.15,0.14,0.33,0.22,0.31,0.16,0,0
248,3211,0.43,0.69,0.25,0.35,0.15,0.43,0.30,0.69,0.26,0.22,0.32,0.23,0,0
249,3224,0.46,0.41,0.26,0.16,0.31,0.46,0.44,0.27,0.34,0.17,0.15,0.41,0,0
250,3237,0.67,0.93,0.17,0.25,0.67,0.29,0.18,0.23,0.93,0.24,0.25,0.45,0,0
251,3250,0.40,0.25,0.26,0.33,0.40,0.30,0.40,0.22,0.19,0.22,0.24,0.25,0,0
252,3263,0.90,0.31,0.26,0.29,0.90,0.21,0.22,0.30,0.23,0.20,0.31,0.24,0,0
253,3276,0.31,0.39,0.28,0.25,0.27,0.31,0.20,0.24,0.25,0.24,0.39,0.18,0,0
254,3289,0.38,0.48,0.30,0.30,0.17,0.38,0.26,0.20,0.38,0.39,0.48,0.31,0,0
255,3302,0.43,0.41,0.30,0.23,0.39,0.43,0.23,0.36,0.13,0.27,0.41,0.27,0,0
256,3315,0.41,0.45,0.09,0.37,0.41,0.33,0.23,0.28,0.26,0.45,0.41,0.18,0,0
257,3328,0.48,0.46,0.08,0.48,0.44,0.18,0.19,0.12,0.46,0.38,0.19,0.11,0,0
258,3341,0.32,0.33,0.32,0.30,0.29,0.13,0.19,0.33,0.17,0.19,0.18,0.11,0,0
259,3354,0.59,0.58,0.59,0.46,0.29,0.16,0.31,0.23,0.14,0.40,0.17,0.58,0,0
260,3367,0.87,0.58,0.18,0.62,0.87,0.37,0.24,0.18,0.44,0.15,0.53,0.58,0,0
261,3380,0.48,0.54,0.48,0.35,0.23,0.23,0.28,0.26,0.20,0.25,0.54,0.30,0,0
262,3393,0.33,0.33,0.22,0.33,0.19,0.13,0.13,0.33,0.22,0.27,0.30,0.31,0,0
263,3406,0.95,0.43,0.95,0.29,0.28,0.19,0.18,0.17,0.25,0.43,0.37,0.23,0,0
264,3419,0.38,0.32,0.20,0.24,0.26,0.20,0.38,0.23,0.24,0.25,0.32,0.19,0,0
265,3432,0.43,0.34,0.27,0.26,0.43,0.30,0.18,0.34,0.31,0.17,0.34,0.32,0,0
266,3445,0.59,0.41,0.10,0.35,0.20,0.59,0.20,0.23,0.26,0.19,0.41,0.26,0,0
267,3458,0.89,0.65,0.19,0.22,0.46,0.55,0.89,0.15,0.14,0.21,0.65,0.07,0,0
268,3471,0.43,0.36,0.40,0.32,0.43,0.30,0.31,0.14,0.36,0.24,0.27,0.14,0,0
269,3484,0.30,0.40,0.30,0.18,0.20,0.22,0.25,0.27,0.19,0.32,0.40,0.27,0,0
270,3497,0.24,0.42,0.14,0.24,0.10,0.21,0.16,0.42,0.18,0.39,0.41,0.25,0,0
271,3510,0.34,0.45,0.34,0.16,0.21,0.16,0.25,0.12,0.45,0.42,0.36,0.12,0,0
272,3523,0.35,0.71,0.26,0.22,0.12,0.30,0.35,0.24,0.35,0.71,0.21,0.26,0,0
273,3536,0.44,0.46,0.38,0.23,0.20,0.44,0.27,0.46,0.45,0.15,0.34,0.33,0,0
274,3549,0.37,0.54,0.23,0.37,0.35,0.22,0.14,0.54,0.50,0.13,0.38,0.46,0,0
275,3562,0.37,0.41,0.23,0.37,0.34,0.19,0.26,0.16,0.09,0.41,0.23,0.39,0,0
276,3575,0.59,0.49,0.59,0.50,0.22,0.29,0.25,0.10,0.29,0.42,0.39,0.49,0,0
277,3588,0.56,0.60,0.56,0.19,0.25,0.18,0.20,0.19,0.60,0.54,0.33,0.43,0,0
278,3601,0.32,1.28,0.12,0.23,0.15,0.32,0.14,0.60,1.10,0.33,0.45,1.28,0,0
279,3614,1.11,0.46,0.51,0.30,0.34,0.11,1.11,0.46,0.24,0.33,0.35,0.18,0,0
280,3627,1.30,0.32,0.25,0.39,0.11,0.58,1.30,0.27,0.22,0.17,0.32,0.15,0,0
281,3640,0.65,0.70,0.25,0.35,0.39,0.65,0.14,0.33,0.20,0.32,0.70,0.24,0,0
282,3653,0.59,0.68,0.22,0.21,0.59,0.36,0.18,0.14,0.23,0.68,0.23,0.64,0,0
283,3666,0.39,0.71,0.19,0.31,0.26,0.39,0.13,0.20,0.71,0.24,0.64,0.30,0,0
284,3679,0.41,0.46,0.41,0.38,0.39,0.12,0.34,0.39,0.21,0.46,0.35,0.25,0,0
285,3692,0.46,1.11,0.21,0.24,0.10,0.46,0.33,0.62,1.11,0.13,0.40,0.40,0,0
286,3705,0.85,0.79,0.29,0.85,0.36,0.45,0.13,0.22,0.79,0.33,0.52,0.24,0,0
287,3718,1.17,0.39,1.17,0.19,0.53,0.14,0.15,0.24,0.39,0.38,0.23,0.33,0,0
288,3731,0.45,0.70,0.22,0.45,0.17,0.15,0.14,0.38,0.51,0.49,0.52,0.70,0,0
289,3744,0.36,0.81,0.36,0.31,0.13,0.15,0.24,0.40,0.56,0.50,0.81,0.33,0,0
290,3757,0.51,0.69,0.24,0.28,0.38,0.35,0.51,0.37,0.32,0.29,0.69,0.27,0,0
291,3770,2.59,0.42,0.15,0.15,0.50,2.59,0.22,0.30,0.12,0.42,0.39,0.15,0,0
292,3783,0.91,0.45,0.27,0.25,0.91,0.28,0.33,0.35,0.15,0.26,0.45,0.21,0,0
293,3796,1.28,0.33,0.29,1.28,0.20,0.33,0.28,0.33,0.30,0.26,0.33,0.16,0,0
294,3809,0.36,0.59,0.36,0.18,0.22,0.22,0.21,0.59,0.32,0.30,0.27,0.46,0,0
295,3822,0.34,0.38,0.34,0.23,0.31,0.33,0.21,0.38,0.32,0.36,0.16,0.19,0,0
296,3835,0.40,0.75,0.26,0.40,0.37,0.33,0.24,0.20,0.28,0.75,0.21,0.27,0,0
297,3848,0.27,0.52,0.27,0.20,0.22,0.23,0.24,0.20,0.28,0.15,0.43,0.52,0,0
298,3861,0.36,0.44,0.36,0.33,0.23,0.26,0.13,0.27,0.44,0.34,0.34,0.30,0,0
299,3874,0.26,0.80,0.26,0.15,0.19,0.14,0.18,0.50,0.80,0.37,0.26,0.22,0,0
300,3887,0.33,0.48,0.17,0.30,0.15,0.28,0.33,0.33,0.48,0.15,0.46,0.27,0,0
301,3900,0.34,0.32,0.21,0.13,0.16,0.28,0.34,0.28,0.32,0.20,0.27,0.26,0,0
302,3913,0.35,0.39,0.21,0.25,0.35,0.12,0.30,0.37,0.13,0.39,0.21,0.28,0,0
303,3926,0.35,0.33,0.17,0.35,0.17,0.22,0.25,0.31,0.30,0.17,0.33,0.17,0,0
304,3939,0.87,0.40,0.87,0.20,0.23,0.28,0.21,0.33,0.23,0.40,0.22,0.15,0,0
305,3952,0.40,0.71,0.30,0.16,0.40,0.18,0.28,0.16,0.13,0.26,0.37,0.71,0,0
306,3965,0.43,0.49,0.14,0.17,0.22,0.43,0.12,0.19,0.15,0.25,0.49,0.14,0,0
307,3978,0.36,0.60,0.14,0.19,0.36,0.14,0.31,0.17,0.44,0.60,0.27,0.20,0,0
308,3991,0.45,0.30,0.21,0.45,0.16,0.22,0.25,0.30,0.27,0.24,0.30,0.21,0,0
309,4004,0.46,0.62,0.46,0.24,0.18,0.22,0.18,0.20,0.17,0.20,0.62,0.28,0,0
310,4017,0.31,0.76,0.15,0.21,0.18,0.25,0.31,0.14,0.41,0.37,0.32,0.76,0,0
311,4030,0.45,0.52,0.13,0.11,0.18,0.45,0.13,0.41,0.32,0.19,0.52,0.25,0,0
312,4043,0.41,0.89,0.12,0.20,0.41,0.23,0.15,0.24,0.30,0.89,0.24,0.22,0,0
313,4056,0.41,0.59,0.19,0.41,0.14,0.36,0.23,0.24,0.59,0.16,0.37,0.16,0,0
314,4069,0.31,0.46,0.31,0.13,0.16,0.19,0.22,0.46,0.25,0.24,0.37,0.35,0,0
315,4082,0.37,0.40,0.12,0.21,0.11,0.37,0.20,0.30,0.15,0.18,0.36,0.40,0,0
316,4095,0.31,0.66,0.15,0.19,0.14,0.31,0.22,0.66,0.34,0.39,0.27,0.22,0,0
317,4108,0.28,0.39,0.16,0.23,0.28,0.16,0.16,0.39,0.19,0.38,0.20,0.24,0,0
318,4121,0.31,0.29,0.24,0.31,0.15,0.18,0.17,0.23,0.28,0.22,0.29,0.17,0,0
319,4134,0.38,0.40,0.28,0.38,0.17,0.30,0.17,0.24,0.17,0.23,0.40,0.30,0,0
320,4147,0.40,0.61,0.25,0.31,0.28,0.40,0.29,0.34,0.61,0.29,0.32,0.21,0,0
321,4160,0.37,0.42,0.37,0.27,0.16,0.30,0.23,0.42,0.32,0.19,0.32,0.17,0,0
322,4173,0.28,0.79,0.14,0.23,0.28,0.22,0.21,0.79,0.20,0.23,0.27,0.23,0,0
323,4186,0.42,0.30,0.17,0.21,0.42,0.31,0.32,0.21,0.29,0.30,0.24,0.30,0,0
324,4199,0.34,0.39,0.34,0.13,0.34,0.18,0.16,0.25,0.28,0.31,0.39,0.29,0,0
325,4212,0.29,0.50,0.29,0.28,0.19,0.16,0.21,0.18,0.27,0.12,0.50,0.24,0,0
326,4225,0.27,0.63,0.21,0.22,0.16,0.27,0.20,0.28,0.27,0.63,0.35,0.48,0,0
327,4238,0.30,0.58,0.15,0.18,0.30,0.25,0.17,0.23,0.32,0.49,0.53,0.58,0,0
328,4251,0.79,1.02,0.14,0.79,0.28,0.26,0.41,0.18,0.49,1.02,0.51,0.17,0,0
329,4264,3.65,0.53,0.21,0.37,0.16,3.65,0.16,0.37,0.17,0.53,0.39,0.21,0,0
330,4277,4.27,0.83,0.21,0.39,4.27,0.15,0.31,0.14,0.83,0.33,0.33,0.45,1,1
331,4290,3.20,0.52,0.20,3.20,0.10,0.54,0.23,0.52,0.23,0.32,0.38,0.48,1,1
332,4303,3.26,0.47,3.26,0.11,0.58,0.15,0.48,0.13,0.27,0.47,0.31,0.14,1,1
333,4316,2.82,3.57,0.15,2.82,0.17,0.35,0.20,0.33,0.32,0.32,0.27,3.57,1,1
334,4329,2.05,3.47,2.05,0.31,0.29,0.22,0.18,0.50,0.37,0.16,3.47,0.13,1,1
335,4342,0.47,3.81,0.17,0.47,0.12,0.10,0.19,0.25,0.26,3.81,0.19,1.63,1,1
336,4355,0.36,2.99,0.36,0.27,0.19,0.21,0.15,0.13,2.99,0.35,1.82,0.40,1,1
337,4368,0.23,3.63,0.15,0.16,0.18,0.08,0.23,3.63,0.13,0.55,0.97,0.55,1,1
338,4381,3.36,0.67,0.16,0.38,0.12,0.15,3.36,0.21,0.27,0.30,0.67,0.14,1,1
339,4394,2.60,0.63,0.23,0.08,0.12,2.60,0.28,0.30,0.22,0.41,0.63,0.16,1,1
340,4407,3.79,0.57,0.12,0.20,3.79,0.11,0.23,0.24,0.26,0.49,0.29,0.57,1,1
341,4420,3.89,0.42,0.18,3.89,0.12,0.31,0.14,0.24,0.25,0.19,0.42,0.19,1,1
342,4433,1.78,0.39,1.78,0.09,0.25,0.16,0.30,0.19,0.23,0.39,0.22,0.15,1,1
343,4446,0.26,2.67,0.19,0.22,0.22,0.26,0.14,0.27,0.59,0.40,0.45,2.67,1,0
344,4459,0.46,2.64,0.42,0.29,0.45,0.21,0.46,0.40,0.26,0.36,2.64,0.13,1,1
345,4472,0.49,0.57,0.25,0.49,0.21,0.28,0.32,0.29,0.22,0.26,0.26,0.57,1,1
346,4485,0.23,0.36,0.22,0.19,0.16,0.23,0.22,0.23,0.34,0.26,0.36,0.19,0,0
347,4498,0.44,0.37,0.38,0.18,0.35,0.21,0.44,0.27,0.16,0.37,0.28,0.22,0,0
348,4511,0.63,0.45,0.10,0.63,0.30,0.42,0.52,0.14,0.45,0.31,0.26,0.43,0,0
349,4524,0.48,0.67,0.42,0.35,0.33,0.48,0.16,0.67,0.37,0.21,0.37,0.20,0,0
350,4537,0.70,0.41,0.22,0.29,0.28,0.15,0.70,0.36,0.41,0.34,0.21,0.33,0,0
351,4550,0.47,0.39,0.47,0.41,0.33,0.46,0.19,0.25,0.39,0.29,0.36,0.20,0,0
352,4563,0.42,0.37,0.42,0.19,0.40,0.32,0.18,0.37,0.32,0.32,0.37,0.25,0,0
353,4576,0.33,0.60,0.26,0.33,0.22,0.30,0.19,0.26,0.60,0.39,0.43,0.14,0,0
354,4589,0.40,0.51,0.40,0.30,0.23,0.38,0.17,0.51,0.49,0.33,0.26,0.23,0,0
355,4602,0.40,0.99,0.26,0.40,0.40,0.26,0.16,0.36,0.29,0.99,0.31,0.38,0,0
356,4615,0.40,0.73,0.25,0.37,0.12,0.40,0.39,0.39,0.44,0.26,0.73,0.15,0,0
357,4628,0.72,0.68,0.30,0.19,0.72,0.20,0.28,0.37,0.35,0.68,0.40,0.30,0,0
358,4641,0.44,0.69,0.20,0.26,0.44,0.27,0.44,0.56,0.43,0.69,0.40,0.16,0,0
359,4654,0.90,0.88,0.27,0.34,0.30,0.90,0.23,0.61,0.19,0.88,0.53,0.16,0,0
360,4667,0.90,0.61,0.67,0.28,0.68,0.90,0.45,0.41,0.27,0.61,0.27,0.24,0,0
361,4680,0.90,0.39,0.62,0.90,0.77,0.35,0.26,0.39,0.18,0.23,0.26,0.15,0,0
362,4693,1.07,0.71,0.37,1.07,0.32,0.31,0.33,0.28,0.51,0.41,0.47,0.71,0,0
363,4706,0.69,0.49,0.28,0.69,0.46,0.48,0.21,0.20,0.32,0.20,0.39,0.49,0,0
364,4719,0.80,0.49,0.35,0.80,0.46,0.56,0.22,0.38,0.46,0.40,0.34,0.49,0,0
365,4732,0.49,0.54,0.32,0.34,0.49,0.32,0.34,0.32,0.37,0.35,0.41,0.54,0,0
366,4745,0.29,2.54,0.29,0.25,0.12,0.27,0.25,0.51,2.54,0.41,0.49,0.44,0,0
367,4758,0.31,1.56,0.23,0.24,0.31,0.27,0.30,1.56,0.29,0.52,0.42,0.36,1,0
368,4771,2.69,0.73,0.25,0.63,0.42,0.37,2.69,0.42,0.73,0.30,0.45,0.23,1,0
369,4784,3.43,0.81,0.61,0.38,0.35,3.43,0.21,0.81,0.12,0.26,0.51,0.35,1,1
370,4797,3.79,0.86,0.32,0.34,3.79,0.57,0.46,0.35,0.48,0.54,0.28,0.86,1,1
371,4810,3.68,0.98,0.25,3.68,0.43,0.33,0.19,0.70,0.23,0.45,0.98,0.39,1,1
372,4823,3.76,0.47,3.76,0.49,0.46,0.22,0.22,0.19,0.47,0.27,0.47,0.35,1,1
373,4836,0.94,4.10,0.22,0.94,0.26,0.18,0.21,0.28,0.33,0.25,0.50,4.10,1,1
374,4849,0.53,4.25,0.53,0.27,0.26,0.17,0.17,0.48,0.36,0.24,4.25,0.66,1,1
375,4862,0.32,0.73,0.21,0.32,0.26,0.21,0.26,0.28,0.73,0.36,0.38,0.48,1,1
376,4875,0.75,0.50,0.75,0.52,0.16,0.25,0.22,0.28,0.47,0.19,0.50,0.25,0,0
377,4888,0.57,0.51,0.57,0.24,0.48,0.23,0.44,0.22,0.51,0.36,0.43,0.22,0,0
378,4901,0.48,0.55,0.47,0.48,0.14,0.29,0.20,0.50,0.43,0.34,0.55,0.32,0,0
379,4914,0.55,0.48,0.33,0.55,0.38,0.21,0.36,0.43,0.23,0.48,0.37,0.17,0,0
380,4927,0.59,0.61,0.20,0.27,0.10,0.39,0.59,0.19,0.30,0.61,0.28,0.30,0,0
381,4940,0.44,0.71,0.20,0.13,0.22,0.44,0.37,0.23,0.30,0.22,0.71,0.22,0,0
382,4953,0.39,0.67,0.13,0.25,0.27,0.18,0.39,0.42,0.48,0.67,0.41,0.18,0,0
383,4966,0.55,0.68,0.55,0.38,0.42,0.28,0.28,0.51,0.68,0.52,0.68,0.20,0,0
384,4979,0.56,0.66,0.48,0.56,0.24,0.36,0.25,0.66,0.37,0.49,0.16,0.15,0,0
385,4992,0.40,0.72,0.22,0.25,0.21,0.33,0.40,0.72,0.29,0.60,0.23,0.57,0,0
386,5005,0.38,0.92,0.38,0.21,0.24,0.33,0.27,0.92,0.33,0.52,0.83,0.16,0,0
387,5018,0.46,1.68,0.29,0.36,0.46,0.42,0.20,1.68,0.80,0.34,0.24,0.49,0,0
388,5031,1.36,0.64,0.24,0.27,0.41,0.31,1.36,0.31,0.59,0.19,0.46,0.64,0,0
389,5044,2.63,0.50,0.46,0.28,0.37,2.63,0.59,0.39,0.21,0.50,0.31,0.34,0,0
390,5057,2.93,0.52,0.18,0.45,2.93,0.48,0.44,0.52,0.24,0.42,0.35,0.23,1,1
391,5070,3.34,0.62,0.48,3.34,0.42,0.47,0.50,0.38,0.16,0.57,0.45,0.62,1,1
392,5083,2.33,0.62,2.33,0.28,0.41,0.44,0.21,0.22,0.47,0.62,0.40,0.57,1,1
393,5096,0.82,1.50,0.82,0.38,0.62,0.24,0.21,0.58,0.38,0.34,0.73,1.50,1,1
394,5109,0.52,2.19,0.52,0.31,0.40,0.32,0.21,0.25,0.36,0.40,0.43,2.19,1,0
395,5122,0.41,2.48,0.41,0.41,0.13,0.16,0.28,0.34,0.54,0.24,2.48,0.61,1,1
396,5135,0.30,1.59,0.27,0.24,0.30,0.19,0.15,0.64,0.46,1.59,0.65,0.37,1,1
397,5148,0.40,0.96,0.19,0.24,0.40,0.13,0.37,0.47,0.96,0.91,0.32,0.32,1,0
398,5161,0.85,0.69,0.85,0.34,0.20,0.40,0.28,0.30,0.69,0.32,0.41,0.12,0,0
399,5174,0.59,0.47,0.49,0.29,0.59,0.16,0.27,0.42,0.35,0.47,0.45,0.17,0,0
400,5187,0.67,0.81,0.26,0.67,0.26,0.30,0.52,0.27,0.29,0.46,0.81,0.26,0,0
401,5200,0.72,0.72,0.40,0.34,0.72,0.60,0.16,0.49,0.32,0.15,0.72,0.44,0,0
402,5213,1.15,0.64,0.28,1.15,0.52,0.34,0.19,0.40,0.47,0.52,0.64,0.59,0,0
403,5226,2.63,0.67,1.34,0.29,0.44,0.37,2.63,0.40,0.33,0.63,0.67,0.16,0,0
404,5239,0.43,1.73,0.43,0.40,0.38,0.19,0.27,0.35,0.22,0.43,0.27,1.73,0,0
405,5252,0.69,1.50,0.31,0.30,0.69,0.51,0.22,0.55,0.46,0.25,1.50,0.26,1,0
406,5265,0.35,1.28,0.35,0.29,0.11,0.23,0.31,0.21,0.25,1.28,0.33,0.35,1,0
407,5278,0.42,0.62,0.31,0.36,0.42,0.37,0.16,0.21,0.31,0.30,0.62,0.54,0,0
408,5291,0.53,0.70,0.35,0.53,0.42,0.20,0.15,0.46,0.59,0.35,0.70,0.50,0,0
409,5304,0.45,0.64,0.39,0.45,0.22,0.22,0.36,0.46,0.49,0.64,0.47,0.47,0,0
410,5317,0.51,0.82,0.46,0.13,0.15,0.25,0.51,0.40,0.82,0.49,0.53,0.52,0,0
411,5330,0.59,0.59,0.22,0.10,0.09,0.36,0.59,0.49,0.42,0.25,0.59,0.31,0,0
412,5343,0.47,1.16,0.14,0.16,0.37,0.36,0.47,1.16,0.46,1.07,0.48,0.22,0,0
413,5356,0.54,0.52,0.13,0.37,0.53,0.54,0.40,0.52,0.36,0.42,0.24,0.13,0,0
414,5369,1.63,0.52,0.24,0.63,0.29,0.53,1.63,0.52,0.50,0.21,0.29,0.12,0,0
415,5382,0.51,0.68,0.21,0.41,0.39,0.25,0.51,0.68,0.30,0.19,0.47,0.29,0,0
416,5395,0.40,0.63,0.34,0.26,0.40,0.12,0.18,0.17,0.12,0.15,0.32,0.63,0,0
417,5408,0.39,0.60,0.39,0.29,0.20,0.21,0.17,0.22,0.10,0.15,0.60,0.40,0,0
418,5421,0.59,0.62,0.59,0.36,0.39,0.19,0.08,0.12,0.36,0.30,0.62,0.57,0,0
419,5434,0.84,0.67,0.84,0.61,0.28,0.35,0.10,0.30,0.67,0.44,0.49,0.20,0,0
420,5447,0.86,0.47,0.86,0.19,0.16,0.42,0.20,0.46,0.39,0.34,0.47,0.29,0,0
421,5460,0.47,0.57,0.16,0.17,0.15,0.33,0.47,0.34,0.44,0.21,0.57,0.13,0,0
422,5473,0.38,0.68,0.11,0.16,0.37,0.38,0.29,0.54,0.19,0.36,0.68,0.11,0,0
423,5486,0.67,0.34,0.22,0.25,0.67,0.51,0.51,0.19,0.31,0.34,0.22,0.15,0,0
424,5499,0.56,0.43,0.46,0.56,0.22,0.26,0.14,0.26,0.30,0.39,0.43,0.37,0,0
425,5512,0.43,1.39,0.43,0.23,0.27,0.27,0.27,0.33,1.39,0.24,0.39,0.26,0,0
426,5525,0.52,0.63,0.38,0.38,0.52,0.28,0.24,0.18,0.44,0.53,0.61,0.63,0,0
427,5538,0.62,0.54,0.62,0.58,0.18,0.40,0.17,0.22,0.11,0.30,0.47,0.54,0,0
428,5551,0.32,0.53,0.23,0.28,0.32,0.15,0.11,0.13,0.24,0.34,0.38,0.53,0,0
429,5564,0.35,0.54,0.17,0.33,0.35,0.19,0.23,0.19,0.35,0.31,0.54,0.12,0,0
430,5577,0.56,0.60,0.30,0.18,0.18,0.25,0.56,0.53,0.22,0.32,0.60,0.35,0,0
431,5590,0.44,0.54,0.33,0.38,0.43,0.44,0.22,0.51,0.54,0.35,0.50,0.35,0,0
432,5603,0.54,0.51,0.35,0.32,0.54,0.43,0.29,0.51,0.23,0.40,0.31,0.18,0,0
433,5616,0.78,0.42,0.41,0.47,0.31,0.78,0.48,0.17,0.42,0.18,0.28,0.14,0,0
434,5629,0.35,0.37,0.35,0.31,0.33,0.25,0.13,0.37,0.14,0.20,0.18,0.29,0,0
435,5642,0.60,0.54,0.46,0.60,0.29,0.15,0.10,0.21,0.54,0.22,0.28,0.36,0,0
436,5655,0.27,0.33,0.25,0.27,0.15,0.24,0.24,0.24,0.17,0.31,0.33,0.23,0,0
437,5668,0.32,0.94,0.28,0.16,0.16,0.15,0.32,0.27,0.14,0.94,0.34,0.36,0,0
438,5681,0.25,0.64,0.17,0.16,0.16,0.25,0.18,0.23,0.64,0.46,0.59,0.39,0,0
439,5694,0.48,0.69,0.36,0.14,0.48,0.15,0.22,0.22,0.68,0.27,0.69,0.13,0,0
440,5707,0.36,0.93,0.20,0.13,0.10,0.36,0.24,0.35,0.93,0.34,0.64,0.54,0,0
441,5720,0.25,0.84,0.16,0.19,0.15,0.25,0.24,0.25,0.23,0.58,0.84,0.19,0,0
442,5733,0.50,0.63,0.09,0.16,0.10,0.43,0.50,0.47,0.43,0.63,0.45,0.41,0,0
443,5746,0.51,0.95,0.15,0.39,0.51,0.47,0.32,0.95,0.52,0.25,0.31,0.15,0,0
444,5759,0.59,0.49,0.17,0.30,0.59,0.42,0.21,0.49,0.18,0.40,0.41,0.15,0,0
445,5772,0.77,1.81,0.33,0.77,0.32,0.33,0.38,0.34,0.24,1.81,0.44,0.24,0,0
446,5785,0.55,3.07,0.46,0.52,0.27,0.55,0.23,0.63,3.07,0.55,0.53,0.39,1,0
447,5798,0.71,2.68,0.32,0.14,0.11,0.71,0.14,2.68,0.49,0.44,0.30,0.27,1,1
448,5811,2.32,0.61,0.19,0.12,0.16,0.06,2.32,0.56,0.61,0.26,0.21,0.21,1,1
449,5824,1.10,0.42,0.14,0.21,0.10,1.10,0.19,0.32,0.42,0.25,0.34,0.32,1,1
450,5837,0.42,0.59,0.27,0.36,0.20,0.40,0.42,0.31,0.32,0.50,0.59,0.15,0,0
451,5850,0.24,0.54,0.24,0.11,0.17,0.09,0.18,0.36,0.38,0.19,0.20,0.54,0,0
452,5863,0.16,0.29,0.10,0.16,0.09,0.13,0.16,0.29,0.25,0.21,0.16,0.08,0,0
453,5876,0.35,0.44,0.24,0.35,0.11,0.19,0.34,0.26,0.44,0.30,0.33,0.14,0,0
454,5889,0.69,0.90,0.12,0.29,0.19,0.48,0.69,0.55,0.90,0.34,0.32,0.27,0,0
455,5902,0.82,1.04,0.38,0.42,0.45,0.66,0.82,0.48,1.04,0.26,0.41,0.23,0,0
456,5915,0.57,1.14,0.39,0.48,0.51,0.57,0.43,1.14,0.15,0.52,0.19,0.55,0,0
457,5928,0.99,0.65,0.39,0.99,0.78,0.57,0.36,0.65,0.65,0.21,0.51,0.65,0,0
458,5941,1.01,0.94,0.57,0.54,1.01,0.61,0.26,0.32,0.94,0.25,0.22,0.20,0,0
459,5954,2.05,0.40,0.23,2.05,0.48,0.17,0.19,0.40,0.23,0.35,0.13,0.19,0,0
460,5967,0.50,0.18,0.48,0.50,0.18,0.35,0.21,0.11,0.10,0.09,0.15,0.18,0,0
461,5980,0.14,0.26,0.08,0.06,0.10,0.14,0.12,0.06,0.09,0.17,0.26,0.18,0,0
