DATE,2018.02.21 11:00
Lot No,L820169      
Bar No,3
Result,NO GOOD
Defect H,2
Defect L,0
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
243,3146,0.14,0.41,0.11,0.14,0.14,0.08,0.11,0.22,0.25,0.33,0.40,0.41,0,0
244,3159,0.17,0.69,0.08,0.11,0.15,0.16,0.17,0.26,0.69,0.34,0.43,0.27,0,0
245,3172,0.33,0.60,0.13,0.12,0.11,0.29,0.33,0.60,0.29,0.48,0.39,0.19,0,0
246,3185,0.26,0.33,0.10,0.12,0.17,0.24,0.26,0.23,0.33,0.23,0.27,0.14,0,0
247,3198,0.37,0.32,0.11,0.29,0.12,0.37,0.33,0.32,0.15,0.21,0.13,0.16,0,0
248,3211,0.41,0.16,0.28,0.35,0.19,0.41,0.16,0.09,0.09,0.16,0.16,0.10,0,0
249,3224,0.36,0.21,0.29,0.36,0.21,0.29,0.09,0.11,0.14,0.13,0.21,0.15,0,0
250,3237,0.40,0.37,0.19,0.40,0.19,0.10,0.19,0.23,0.16,0.20,0.25,0.37,0,0
251,3250,0.28,0.43,0.27,0.28,0.11,0.17,0.17,0.24,0.14,0.20,0.43,0.17,0,0
252,3263,0.27,0.59,0.27,0.16,0.08,0.16,0.08,0.28,0.21,0.32,0.59,0.37,0,0
253,3276,0.21,0.57,0.21,0.12,0.12,0.13,0.08,0.22,0.57,0.34,0.35,0.33,0,0
254,3289,0.16,0.71,0.11,0.13,0.14,0.08,0.16,0.28,0.71,0.45,0.23,0.31,0,0
255,3302,0.22,0.46,0.13,0.13,0.22,0.22,0.22,0.46,0.36,0.22,0.29,0.28,0,0
256,3315,0.38,0.43,0.10,0.07,0.17,0.38,0.34,0.34,0.19,0.43,0.29,0.28,0,0
257,3328,0.43,0.35,0.13,0.24,0.43,0.25,0.30,0.10,0.16,0.35,0.18,0.20,0,0
258,3341,0.35,0.34,0.35,0.33,0.26,0.16,0.16,0.15,0.12,0.34,0.20,0.17,0,0
259,3354,0.65,0.28,0.65,0.23,0.21,0.15,0.24,0.14,0.15,0.17,0.28,0.21,0,0
260,3367,0.32,0.46,0.32,0.13,0.13,0.13,0.10,0.46,0.12,0.31,0.35,0.40,0,0
261,3380,0.24,0.51,0.15,0.12,0.15,0.16,0.24,0.16,0.24,0.36,0.51,0.43,0,0
262,3393,0.30,0.37,0.21,0.16,0.30,0.20,0.09,0.37,0.24,0.37,0.29,0.18,0,0
263,3406,0.39,0.73,0.15,0.12,0.26,0.23,0.39,0.30,0.24,0.33,0.23,0.73,0,0
264,3419,0.32,1.33,0.28,0.20,0.27,0.19,0.32,0.45,0.43,0.17,1.33,0.14,0,0
265,3432,0.30,1.43,0.30,0.23,0.28,0.30,0.26,0.24,0.12,1.43,0.27,0.19,0,0
266,3445,0.85,1.34,0.85,0.50,0.63,0.17,0.21,0.16,1.34,0.22,0.20,0.23,0,0
267,3458,0.64,1.57,0.52,0.64,0.25,0.30,0.15,1.57,0.20,0.31,0.22,0.19,0,0
268,3471,1.42,1.11,0.54,0.13,0.15,0.17,1.42,0.24,0.30,0.40,0.24,1.11,0,0
269,3484,1.22,0.58,0.16,0.17,0.18,1.22,0.10,0.29,0.13,0.34,0.44,0.58,0,0
270,3497,1.33,0.59,0.16,0.15,1.33,0.56,0.15,0.21,0.41,0.36,0.59,0.17,0,0
271,3510,1.43,0.43,0.23,1.43,0.12,0.34,0.24,0.29,0.13,0.43,0.12,0.21,0,0
272,3523,1.21,0.40,1.21,0.36,0.28,0.35,0.45,0.13,0.15,0.31,0.39,0.40,0,0
273,3536,0.76,1.83,0.61,0.36,0.76,0.21,0.11,0.14,0.37,0.20,0.45,1.83,0,0
274,3549,0.44,2.17,0.37,0.44,0.18,0.16,0.20,0.30,0.17,0.44,2.17,0.45,1,0
275,3562,0.34,0.98,0.34,0.20,0.08,0.11,0.23,0.14,0.19,0.98,0.63,0.20,1,0
276,3575,0.24,1.54,0.22,0.08,0.13,0.24,0.12,0.22,1.54,0.27,0.43,0.49,0,0
277,3588,0.23,0.72,0.07,0.16,0.18,0.14,0.23,0.72,0.52,0.46,0.31,0.11,0,0
278,3601,0.55,0.55,0.19,0.28,0.10,0.35,0.55,0.28,0.55,0.23,0.25,0.08,0,0
279,3614,1.09,0.41,0.27,0.89,0.26,1.09,0.18,0.41,0.12,0.14,0.15,0.17,0,0
280,3627,1.32,0.55,0.31,0.89,1.32,0.24,0.12,0.14,0.55,0.13,0.14,0.37,0,0
281,3640,1.35,0.45,0.30,1.35,0.12,0.13,0.17,0.19,0.12,0.16,0.45,0.32,0,0
282,3653,0.81,0.59,0.81,0.13,0.14,0.32,0.18,0.16,0.28,0.49,0.59,0.54,0,0
283,3666,0.19,0.80,0.12,0.15,0.17,0.19,0.14,0.20,0.46,0.50,0.42,0.80,0,0
284,3679,0.48,0.35,0.15,0.14,0.35,0.18,0.48,0.25,0.35,0.24,0.24,0.14,0,0
285,3692,0.48,0.37,0.12,0.26,0.21,0.48,0.20,0.29,0.37,0.19,0.37,0.19,0,0
286,3705,0.32,0.31,0.30,0.25,0.32,0.13,0.16,0.19,0.28,0.19,0.31,0.17,0,0
287,3718,0.27,1.15,0.13,0.27,0.20,0.18,0.12,1.15,0.30,0.16,0.27,0.20,0,0
288,3731,1.10,0.47,0.59,0.64,0.14,0.33,1.10,0.15,0.47,0.27,0.26,0.26,0,0
289,3744,1.02,0.59,0.30,0.17,0.13,1.02,0.34,0.35,0.59,0.24,0.30,0.13,0,0
290,3757,1.00,0.54,0.29,0.31,1.00,0.27,0.26,0.54,0.12,0.17,0.19,0.26,0,0
291,3770,0.76,0.28,0.39,0.65,0.17,0.18,0.76,0.25,0.13,0.28,0.22,0.12,0,0
292,3783,0.61,0.32,0.61,0.18,0.60,0.34,0.16,0.28,0.28,0.28,0.18,0.32,0,0
293,3796,1.24,0.62,0.14,0.42,1.24,0.19,0.12,0.28,0.31,0.24,0.52,0.62,0,0
294,3809,0.27,0.53,0.20,0.27,0.11,0.14,0.09,0.30,0.38,0.53,0.51,0.25,0,0
295,3822,0.53,0.70,0.20,0.26,0.53,0.15,0.32,0.34,0.70,0.49,0.32,0.22,0,0
296,3835,0.85,0.54,0.85,0.27,0.59,0.33,0.23,0.54,0.34,0.53,0.28,0.43,0,0
297,3848,0.48,0.76,0.48,0.14,0.28,0.42,0.40,0.76,0.35,0.37,0.28,0.61,0,0
298,3861,0.47,0.73,0.11,0.35,0.11,0.22,0.47,0.32,0.21,0.47,0.73,0.25,0,0
299,3874,0.29,0.67,0.25,0.15,0.29,0.10,0.25,0.23,0.21,0.67,0.31,0.19,0,0
300,3887,0.46,0.60,0.19,0.46,0.29,0.32,0.21,0.17,0.36,0.16,0.26,0.60,0,0
301,3900,0.41,0.42,0.18,0.41,0.21,0.30,0.09,0.17,0.16,0.39,0.42,0.25,0,0
302,3913,0.47,0.47,0.47,0.24,0.25,0.15,0.13,0.11,0.23,0.47,0.34,0.17,0,0
303,3926,0.28,0.64,0.22,0.09,0.28,0.08,0.21,0.55,0.36,0.34,0.20,0.64,0,0
304,3939,0.22,0.63,0.15,0.19,0.08,0.14,0.22,0.41,0.38,0.11,0.63,0.41,0,0
305,3952,0.34,0.71,0.18,0.10,0.08,0.33,0.34,0.43,0.18,0.71,0.33,0.65,0,0
306,3965,0.33,0.64,0.18,0.09,0.17,0.33,0.21,0.16,0.44,0.64,0.45,0.46,0,0
307,3978,0.32,0.82,0.12,0.22,0.18,0.32,0.15,0.50,0.32,0.82,0.31,0.16,0,0
308,3991,0.50,0.40,0.39,0.50,0.28,0.16,0.23,0.31,0.40,0.32,0.28,0.14,0,0
309,4004,0.42,0.29,0.27,0.20,0.16,0.18,0.42,0.29,0.24,0.23,0.25,0.20,0,0
310,4017,0.40,0.39,0.30,0.15,0.29,0.39,0.40,0.17,0.17,0.20,0.39,0.28,0,0
311,4030,0.31,0.47,0.19,0.17,0.23,0.31,0.25,0.19,0.24,0.23,0.47,0.25,0,0
312,4043,0.34,0.56,0.29,0.34,0.30,0.14,0.16,0.21,0.45,0.56,0.20,0.23,0,0
313,4056,0.25,0.75,0.20,0.25,0.16,0.24,0.09,0.29,0.75,0.25,0.23,0.29,0,0
314,4069,0.26,0.48,0.25,0.23,0.14,0.19,0.26,0.48,0.18,0.23,0.39,0.18,0,0
315,4082,0.53,0.36,0.14,0.16,0.13,0.13,0.53,0.34,0.20,0.26,0.34,0.36,0,0
316,4095,0.38,0.61,0.10,0.11,0.27,0.38,0.13,0.15,0.41,0.45,0.61,0.21,0,0
317,4108,0.42,0.49,0.37,0.42,0.26,0.11,0.16,0.20,0.28,0.49,0.32,0.29,0,0
318,4121,0.73,0.41,0.73,0.42,0.19,0.21,0.23,0.25,0.41,0.27,0.29,0.25,0,0
319,4134,0.35,0.57,0.17,0.14,0.22,0.35,0.10,0.33,0.18,0.32,0.57,0.37,0,0
320,4147,0.40,0.53,0.17,0.40,0.25,0.12,0.32,0.38,0.30,0.22,0.53,0.31,0,0
321,4160,0.55,0.35,0.48,0.24,0.55,0.33,0.14,0.33,0.30,0.35,0.31,0.17,0,0
322,4173,0.29,0.77,0.29,0.26,0.24,0.09,0.12,0.16,0.29,0.24,0.15,0.77,0,0
323,4186,0.46,0.40,0.24,0.46,0.13,0.26,0.28,0.40,0.26,0.23,0.30,0.21,0,0
324,4199,0.43,0.62,0.43,0.12,0.29,0.16,0.11,0.46,0.14,0.62,0.28,0.51,0,0
325,4212,0.23,0.77,0.15,0.16,0.18,0.13,0.23,0.26,0.51,0.30,0.35,0.77,0,0
326,4225,0.40,0.65,0.27,0.19,0.10,0.40,0.11,0.33,0.34,0.35,0.65,0.23,0,0
327,4238,0.40,0.50,0.40,0.13,0.33,0.20,0.30,0.31,0.14,0.50,0.23,0.35,0,0
328,4251,0.36,0.57,0.12,0.32,0.17,0.36,0.24,0.23,0.25,0.19,0.57,0.17,0,0
329,4264,0.38,0.44,0.28,0.21,0.29,0.38,0.15,0.19,0.22,0.44,0.23,0.43,0,0
330,4277,0.38,0.32,0.19,0.30,0.38,0.16,0.23,0.22,0.31,0.24,0.32,0.31,0,0
331,4290,0.65,0.51,0.30,0.60,0.65,0.30,0.12,0.25,0.22,0.51,0.21,0.30,0,0
332,4303,0.47,0.42,0.47,0.22,0.26,0.16,0.23,0.20,0.28,0.33,0.42,0.35,0,0
333,4316,0.31,0.35,0.31,0.19,0.23,0.22,0.06,0.18,0.20,0.23,0.35,0.35,0,0
334,4329,0.49,0.48,0.36,0.18,0.49,0.13,0.24,0.35,0.31,0.38,0.48,0.27,0,0
335,4342,0.34,0.49,0.25,0.34,0.10,0.28,0.22,0.34,0.33,0.49,0.35,0.39,0,0
336,4355,0.24,0.63,0.19,0.10,0.10,0.24,0.12,0.63,0.27,0.26,0.50,0.24,0,0
337,4368,0.46,0.72,0.12,0.22,0.46,0.19,0.13,0.36,0.13,0.29,0.72,0.37,0,0
338,4381,0.60,0.40,0.30,0.60,0.20,0.16,0.29,0.20,0.16,0.26,0.40,0.25,0,0
339,4394,0.51,0.61,0.51,0.15,0.21,0.19,0.10,0.21,0.24,0.61,0.27,0.35,0,0
340,4407,0.50,0.64,0.15,0.50,0.29,0.20,0.23,0.17,0.23,0.15,0.34,0.64,0,0
341,4420,0.52,0.59,0.52,0.32,0.12,0.40,0.19,0.23,0.09,0.42,0.59,0.30,0,0
342,4433,0.37,0.58,0.32,0.16,0.37,0.23,0.22,0.08,0.13,0.58,0.36,0.34,0,0
343,4446,0.54,0.48,0.32,0.54,0.29,0.23,0.26,0.33,0.40,0.19,0.47,0.48,0,0
344,4459,0.33,0.37,0.33,0.27,0.28,0.10,0.15,0.33,0.20,0.22,0.37,0.23,0,0
345,4472,0.41,0.57,0.21,0.32,0.41,0.20,0.25,0.37,0.46,0.57,0.42,0.40,0,0
346,4485,0.41,0.57,0.39,0.22,0.28,0.41,0.24,0.57,0.37,0.17,0.36,0.21,0,0
347,4498,0.42,0.42,0.23,0.19,0.42,0.33,0.29,0.28,0.19,0.42,0.42,0.20,0,0
348,4511,0.58,0.47,0.28,0.58,0.30,0.27,0.27,0.36,0.45,0.20,0.47,0.20,0,0
349,4524,0.42,0.64,0.42,0.22,0.39,0.16,0.25,0.26,0.32,0.64,0.35,0.16,0,0
350,4537,0.46,1.22,0.32,0.40,0.36,0.46,0.39,0.18,0.49,0.17,0.23,1.22,0,0
351,4550,0.44,0.28,0.44,0.22,0.36,0.36,0.25,0.20,0.17,0.23,0.28,0.24,0,0
352,4563,0.50,0.55,0.25,0.50,0.32,0.26,0.26,0.41,0.20,0.55,0.44,0.21,0,0
353,4576,0.47,0.65,0.14,0.47,0.19,0.28,0.12,0.30,0.56,0.35,0.65,0.28,0,0
354,4589,0.39,0.54,0.25,0.19,0.32,0.18,0.39,0.32,0.23,0.54,0.43,0.25,0,0
355,4602,0.35,0.58,0.32,0.15,0.30,0.32,0.35,0.33,0.32,0.18,0.58,0.32,0,0
356,4615,0.66,0.73,0.33,0.16,0.22,0.66,0.15,0.15,0.73,0.22,0.37,0.35,0,0
357,4628,0.32,0.57,0.20,0.26,0.32,0.20,0.17,0.37,0.57,0.53,0.37,0.53,0,0
358,4641,0.37,0.71,0.37,0.34,0.18,0.34,0.13,0.50,0.41,0.31,0.71,0.15,0,0
359,4654,0.34,0.42,0.30,0.34,0.28,0.17,0.17,0.42,0.24,0.32,0.26,0.25,0,0
360,4667,0.33,0.37,0.27,0.25,0.24,0.18,0.33,0.35,0.19,0.18,0.37,0.24,0,0
361,4680,0.44,0.29,0.44,0.19,0.30,0.29,0.32,0.29,0.10,0.18,0.27,0.24,0,0
362,4693,0.37,0.40,0.26,0.34,0.31,0.37,0.28,0.17,0.14,0.28,0.40,0.29,0,0
363,4706,0.35,0.44,0.28,0.35,0.17,0.18,0.12,0.16,0.43,0.29,0.44,0.41,0,0
364,4719,0.37,0.63,0.37,0.22,0.24,0.20,0.11,0.33,0.27,0.63,0.49,0.53,0,0
365,4732,0.34,0.56,0.14,0.15,0.34,0.14,0.32,0.28,0.22,0.52,0.56,0.40,0,0
366,4745,0.45,0.51,0.45,0.24,0.26,0.36,0.20,0.35,0.17,0.51,0.51,0.31,0,0
367,4758,0.39,0.51,0.24,0.26,0.39,0.32,0.38,0.51,0.29,0.38,0.28,0.19,0,0
368,4771,1.07,0.42,0.22,0.62,0.22,1.07,0.19,0.17,0.42,0.19,0.33,0.19,0,0
369,4784,0.60,0.54,0.27,0.60,0.38,0.34,0.08,0.27,0.13,0.33,0.54,0.43,0,0
370,4797,0.53,0.67,0.53,0.34,0.31,0.40,0.31,0.19,0.36,0.19,0.67,0.58,0,0
371,4810,0.45,0.69,0.45,0.32,0.22,0.31,0.26,0.15,0.19,0.69,0.66,0.40,0,0
372,4823,0.35,1.20,0.26,0.30,0.31,0.35,0.24,1.20,0.34,0.63,0.88,0.59,0,0
373,4836,0.57,0.79,0.16,0.57,0.34,0.30,0.17,0.79,0.46,0.76,0.50,0.42,0,0
374,4849,0.30,0.71,0.30,0.27,0.26,0.14,0.20,0.71,0.50,0.57,0.51,0.32,0,0
375,4862,0.42,0.52,0.31,0.18,0.42,0.11,0.25,0.46,0.51,0.19,0.52,0.32,0,0
376,4875,0.29,0.64,0.24,0.22,0.21,0.29,0.26,0.52,0.22,0.44,0.64,0.33,0,0
377,4888,0.31,0.59,0.27,0.12,0.26,0.24,0.31,0.54,0.23,0.36,0.53,0.59,0,0
378,4901,0.49,0.45,0.20,0.22,0.49,0.33,0.34,0.21,0.45,0.43,0.34,0.36,0,0
379,4914,0.45,0.61,0.17,0.32,0.43,0.45,0.34,0.61,0.30,0.32,0.41,0.10,0,0
380,4927,0.52,0.69,0.27,0.52,0.33,0.31,0.30,0.34,0.16,0.69,0.32,0.26,0,0
381,4940,0.48,0.52,0.28,0.44,0.34,0.48,0.41,0.21,0.39,0.52,0.48,0.26,0,0
382,4953,0.35,0.41,0.35,0.30,0.24,0.30,0.14,0.41,0.25,0.22,0.39,0.24,0,0
383,4966,0.48,0.87,0.25,0.24,0.19,0.39,0.48,0.17,0.37,0.38,0.87,0.51,0,0
384,4979,0.40,0.72,0.27,0.40,0.23,0.12,0.14,0.26,0.57,0.41,0.72,0.26,0,0
385,4992,1.22,1.17,0.37,0.21,1.22,0.35,0.20,0.33,1.17,0.53,0.56,0.50,0,0
386,5005,0.33,0.74,0.12,0.16,0.26,0.33,0.28,0.48,0.74,0.72,0.52,0.53,0,0
387,5018,0.54,0.58,0.15,0.33,0.54,0.38,0.21,0.58,0.35,0.52,0.49,0.21,0,0
388,5031,0.29,0.97,0.27,0.29,0.29,0.28,0.24,0.38,0.97,0.34,0.59,0.19,0,0
389,5044,0.39,0.41,0.20,0.36,0.23,0.39,0.26,0.26,0.40,0.28,0.41,0.13,0,0
390,5057,0.32,0.54,0.22,0.16,0.27,0.24,0.32,0.43,0.54,0.37,0.43,0.19,0,0
391,5070,0.45,0.43,0.45,0.14,0.17,0.23,0.39,0.43,0.29,0.42,0.19,0.32,0,0
392,5083,0.58,0.65,0.28,0.17,0.32,0.24,0.58,0.19,0.32,0.46,0.65,0.23,0,0
393,5096,0.36,0.81,0.36,0.23,0.14,0.16,0.16,0.33,0.39,0.57,0.81,0.60,0,0
394,5109,0.52,0.64,0.22,0.35,0.30,0.49,0.52,0.25,0.64,0.43,0.49,0.24,0,0
395,5122,0.39,0.72,0.37,0.31,0.36,0.38,0.39,0.72,0.71,0.14,0.27,0.45,0,0
396,5135,0.69,0.68,0.50,0.42,0.29,0.26,0.69,0.37,0.68,0.27,0.15,0.40,0,0
397,5148,0.84,0.93,0.84,0.30,0.17,0.61,0.40,0.93,0.26,0.32,0.48,0.49,0,0
398,5161,0.74,0.36,0.14,0.74,0.44,0.26,0.27,0.26,0.20,0.33,0.36,0.22,0,0
399,5174,0.56,0.50,0.17,0.47,0.29,0.40,0.56,0.44,0.50,0.38,0.28,0.13,0,0
400,5187,0.59,0.63,0.37,0.59,0.34,0.15,0.56,0.63,0.25,0.18,0.34,0.27,0,0
401,5200,1.14,0.39,0.88,1.14,0.99,0.15,0.14,0.26,0.17,0.24,0.39,0.35,0,0
402,5213,1.06,0.30,0.47,1.06,0.11,0.21,0.12,0.11,0.30,0.27,0.20,0.28,0,0
403,5226,0.59,0.56,0.59,0.34,0.38,0.12,0.23,0.09,0.34,0.43,0.34,0.56,0,0
404,5239,0.39,1.18,0.39,0.33,0.23,0.33,0.24,0.21,0.45,0.74,1.18,0.17,0,0
405,5252,0.27,0.48,0.12,0.18,0.27,0.18,0.17,0.31,0.19,0.48,0.28,0.22,0,0
406,5265,0.37,0.66,0.16,0.31,0.21,0.14,0.37,0.15,0.66,0.20,0.32,0.24,0,0
407,5278,0.33,0.34,0.15,0.25,0.32,0.33,0.24,0.13,0.10,0.34,0.34,0.20,0,0
408,5291,0.43,0.45,0.13,0.24,0.43,0.43,0.23,0.22,0.45,0.28,0.34,0.18,0,0
409,5304,0.54,0.98,0.24,0.54,0.49,0.16,0.15,0.23,0.98,0.37,0.32,0.21,0,0
410,5317,0.55,0.59,0.55,0.24,0.09,0.11,0.25,0.32,0.35,0.55,0.30,0.59,0,0
411,5330,0.46,2.00,0.34,0.44,0.15,0.27,0.46,0.39,0.76,0.32,2.00,0.54,0,0
412,5343,0.46,0.73,0.31,0.11,0.13,0.43,0.46,0.27,0.21,0.31,0.73,0.72,0,0
413,5356,0.48,1.37,0.23,0.22,0.40,0.38,0.48,0.28,1.37,0.62,0.36,0.17,0,0
414,5369,0.43,0.62,0.18,0.43,0.23,0.29,0.17,0.18,0.49,0.29,0.62,0.23,0,0
415,5382,0.72,0.76,0.72,0.30,0.27,0.24,0.45,0.52,0.17,0.17,0.76,0.26,0,0
416,5395,0.55,0.73,0.55,0.10,0.23,0.36,0.21,0.17,0.15,0.18,0.36,0.73,0,0
417,5408,0.27,0.36,0.27,0.20,0.23,0.13,0.13,0.32,0.14,0.23,0.36,0.32,0,0
418,5421,0.44,0.54,0.39,0.18,0.33,0.17,0.44,0.25,0.17,0.54,0.47,0.20,0,0
419,5434,0.39,2.24,0.21,0.21,0.39,0.15,0.09,0.16,0.69,0.57,2.24,0.28,0,0
420,5447,0.38,0.53,0.13,0.34,0.27,0.38,0.26,0.53,0.47,0.13,0.26,0.20,0,0
421,5460,0.27,0.58,0.25,0.21,0.09,0.27,0.20,0.48,0.40,0.13,0.36,0.58,0,0
422,5473,0.72,0.52,0.72,0.43,0.13,0.28,0.42,0.17,0.18,0.52,0.30,0.38,0,0
423,5486,0.40,1.77,0.33,0.16,0.31,0.40,0.31,0.19,0.27,0.49,0.40,1.77,0,0
424,5499,0.56,1.94,0.14,0.56,0.38,0.32,0.23,0.32,0.40,0.27,1.94,1.23,1,0
425,5512,0.56,1.54,0.31,0.56,0.24,0.23,0.11,0.41,0.18,1.54,1.30,0.21,1,0
426,5525,0.50,1.09,0.25,0.33,0.50,0.24,0.50,0.36,1.09,1.05,0.30,0.32,1,0
427,5538,0.92,1.39,0.09,0.21,0.32,0.36,0.92,1.39,0.56,0.35,0.46,0.49,0,0
428,5551,0.86,0.94,0.09,0.34,0.35,0.86,0.40,0.94,0.56,0.33,0.30,0.09,0,0
429,5564,0.45,0.50,0.09,0.31,0.45,0.22,0.18,0.26,0.50,0.19,0.35,0.10,0,0
430,5577,0.54,0.35,0.31,0.54,0.49,0.17,0.34,0.26,0.34,0.15,0.24,0.35,0,0
431,5590,0.61,0.65,0.61,0.29,0.16,0.35,0.34,0.19,0.20,0.10,0.65,0.38,0,0
432,5603,0.48,0.42,0.42,0.48,0.27,0.44,0.36,0.30,0.32,0.42,0.26,0.40,0,0
433,5616,0.54,0.62,0.48,0.54,0.47,0.16,0.23,0.12,0.58,0.62,0.42,0.41,0,0
434,5629,0.38,0.59,0.35,0.31,0.11,0.12,0.38,0.59,0.35,0.26,0.16,0.16,0,0
435,5642,0.27,0.79,0.27,0.19,0.08,0.19,0.22,0.79,0.54,0.54,0.19,0.15,0,0
436,5655,0.38,0.36,0.16,0.08,0.09,0.16,0.38,0.36,0.32,0.28,0.17,0.11,0,0
437,5668,0.46,0.49,0.09,0.10,0.29,0.22,0.46,0.49,0.23,0.13,0.31,0.15,0,0
438,5681,0.43,0.46,0.15,0.43,0.16,0.18,0.10,0.46,0.42,0.17,0.17,0.17,0,0
439,5694,0.39,0.55,0.33,0.39,0.20,0.19,0.15,0.55,0.39,0.39,0.11,0.18,0,0
440,5707,0.30,0.73,0.28,0.20,0.09,0.22,0.30,0.33,0.73,0.47,0.48,0.44,0,0
441,5720,0.43,0.74,0.25,0.08,0.21,0.43,0.27,0.50,0.48,0.74,0.64,0.26,0,0
442,5733,0.50,0.57,0.14,0.11,0.10,0.50,0.34,0.49,0.42,0.57,0.40,0.17,0,0
443,5746,0.27,1.08,0.13,0.15,0.20,0.15,0.27,0.44,0.51,0.54,1.08,0.49,0,0
444,5759,0.27,0.81,0.10,0.18,0.12,0.14,0.27,0.43,0.58,0.81,0.22,0.22,0,0
445,5772,0.47,0.46,0.14,0.13,0.22,0.10,0.47,0.46,0.24,0.37,0.15,0.20,0,0
446,5785,0.28,0.61,0.14,0.14,0.26,0.28,0.20,0.61,0.25,0.16,0.56,0.25,0,0
447,5798,0.57,0.57,0.23,0.57,0.41,0.53,0.41,0.57,0.29,0.52,0.11,0.10,0,0
448,5811,0.73,0.65,0.56,0.42,0.20,0.73,0.19,0.36,0.51,0.65,0.35,0.19,0,0
449,5824,0.45,0.40,0.45,0.27,0.20,0.43,0.12,0.40,0.37,0.18,0.36,0.11,0,0
450,5837,0.29,0.59,0.13,0.13,0.18,0.29,0.09,0.22,0.15,0.43,0.59,0.37,0,0
451,5850,0.31,0.75,0.26,0.31,0.11,0.29,0.28,0.51,0.10,0.30,0.75,0.14,0,0
452,5863,0.32,0.61,0.24,0.17,0.32,0.13,0.21,0.30,0.21,0.61,0.33,0.53,0,0
453,5876,0.87,1.05,0.27,0.35,0.33,0.87,0.26,0.56,0.52,0.36,1.05,0.33,0,0
454,5889,1.23,1.36,0.37,0.25,0.24,0.32,1.23,0.72,0.24,1.36,0.89,0.49,0,0
455,5902,0.45,1.37,0.39,0.24,0.45,0.40,0.42,0.49,1.37,0.49,0.51,0.52,0,0
456,5915,1.05,1.08,0.46,1.05,0.94,0.43,0.43,1.08,0.50,0.30,0.41,0.23,0,0
457,5928,3.00,0.85,0.90,0.83,0.60,1.77,3.00,0.56,0.61,0.58,0.29,0.85,0,0
458,5941,0.73,1.44,0.73,0.51,0.69,0.48,0.33,0.54,1.44,0.29,0.69,0.22,0,0
459,5954,0.49,0.24,0.37,0.23,0.49,0.13,0.24,0.14,0.24,0.22,0.14,0.15,0,0
460,5967,0.24,0.14,0.24,0.08,0.14,0.09,0.08,0.08,0.07,0.09,0.14,0.07,0,0
